epoch,acc,loss,val_acc,val_loss
0,0.206680000231,91074.3443134,0.113499999903,91032.0721579
1,0.614999999076,91030.9397498,0.495599998236,91031.1980445
2,0.853099999666,91030.229213,0.746599998474,91030.5198867
3,0.904560001493,91030.0139014,0.860799999833,91030.2119462
4,0.926200001597,91029.9243206,0.648700001836,91030.7714673
5,0.936500002027,91029.8742887,0.942299999595,91029.8784632
6,0.945440000296,91029.8379762,0.881400001049,91030.046723
7,0.951120002508,91029.8149843,0.946100003123,91029.8443244
8,0.955500002146,91029.7968012,0.799300000072,91030.2247556
9,0.95846000421,91029.7803405,0.887099999785,91029.992643
10,0.963720004439,91029.7634714,0.960400006175,91029.7673477
11,0.963200005889,91029.7602961,0.966000005603,91029.7525752
12,0.967300007463,91029.7476275,0.930300002098,91029.8723725
13,0.970520007968,91029.7371639,0.923400002122,91029.9231919
14,0.971980008245,91029.7292879,0.966300005913,91029.7539196
15,0.973020009995,91029.7250301,0.955500002503,91029.7845654
16,0.976520009279,91029.7153387,0.943700000048,91029.833605
17,0.975380008936,91029.716367,0.947300002575,91029.8112775
18,0.978660010099,91029.7046718,0.951800001264,91029.803981
19,0.980980009794,91029.6968119,0.974600009322,91029.7231554
20,0.980180009961,91029.6981392,0.965100006461,91029.752366
21,0.981960010052,91029.6913978,0.977300007939,91029.7082863
22,0.984260010004,91029.685756,0.974000009298,91029.7282863
23,0.98496000874,91029.6819606,0.205099999383,91035.1941307
24,0.985200009942,91029.6811231,0.972200007439,91029.7345521
25,0.987560009837,91029.6740001,0.794299998283,91030.2925788
26,0.988660009265,91029.6707333,0.97180000782,91029.7274478
27,0.989060008645,91029.6666775,0.20280000031,91034.7904499
28,0.98914000833,91029.6677019,0.100600000396,91040.4367484
29,0.989300008059,91029.666706,0.863699997663,91030.0985537
30,0.99144000721,91029.6604728,0.872900000811,91030.1496688
31,0.991660007358,91029.6602966,0.1008999997,91040.8431275
32,0.991660007119,91029.6597995,0.971900007129,91029.7367391
33,0.992220007062,91029.6572604,0.975900007486,91029.7222635
34,0.992680006504,91029.6561912,0.972300007939,91029.7403815
35,0.992340006709,91029.6562761,0.950300002694,91029.8249602
36,0.993420006037,91029.6526862,0.131200000457,91040.9862001
37,0.994140005469,91029.6505754,0.974800007939,91029.7252127
38,0.993460005879,91029.6535519,0.142500000447,91040.7149846
39,0.993940005422,91029.6520538,0.979600009918,91029.714022
40,0.994620005131,91029.6494224,0.979000009894,91029.7092782
41,0.994940004468,91029.6482364,0.970400006175,91029.7450697
42,0.995880003929,91029.6456134,0.0973999998719,91043.3665035
43,0.995300004363,91029.6470642,0.978100009561,91029.7176152
44,0.994980004668,91029.6480308,0.973900008798,91029.7319354
45,0.995580004096,91029.645003,0.967800002694,91029.765703
46,0.996220003605,91029.6436927,0.979600010514,91029.7117433
47,0.995780004025,91029.6453849,0.980900011659,91029.7047912
48,0.996960002899,91029.6429519,0.560599994957,91032.3259195
49,0.995620004177,91029.6456156,0.920400002003,91029.9505006
50,0.996460003376,91029.6434714,0.185599999353,91038.0973357
51,0.995640004158,91029.6455944,0.933100004196,91029.8773502
52,0.9965400033,91029.6423509,0.21269999966,91037.0220927
53,0.996780003071,91029.6425482,0.968200006485,91029.7548536
54,0.997120002747,91029.6407836,0.977300006747,91029.7270969
55,0.996680003166,91029.6427282,0.202499999851,91038.1414663
56,0.996780003071,91029.6414066,0.981800012589,91029.702743
57,0.996820003033,91029.6421377,0.981700012684,91029.7108667
58,0.997080002785,91029.6403239,0.980000010133,91029.7243189
59,0.996840003014,91029.6414627,0.973700006008,91029.7470071
60,0.997020002842,91029.6403654,0.976000009775,91029.7269317
61,0.996680002928,91029.6417307,0.975100011826,91029.7283524
62,0.997380002499,91029.64037,0.983100010753,91029.7033104
63,0.998020001888,91029.6389598,0.981700011492,91029.7115831
64,0.997860002041,91029.638497,0.97740001142,91029.7242918
65,0.997540002346,91029.6387838,0.98360000968,91029.7045277
66,0.997380002499,91029.6395661,0.982400010228,91029.7054118
67,0.998040001869,91029.6383668,0.981100010872,91029.7119381
68,0.996740003109,91029.6422819,0.981100013256,91029.7155862
69,0.998220001698,91029.6377903,0.9843000108,91029.7032702
70,0.996920002937,91029.6410456,0.687400000095,91030.918742
71,0.998000001907,91029.6381761,0.978600009084,91029.7267318
